time,symbol,score,signal,position,action,close_price
2025-10-22 08:00:00,BTC,11.9,空,short,open_short,107986.14
2025-10-22 08:00:00,ETH,13.4,空,short,hold,3842.24
2025-10-22 08:00:00,SOL,25.3,空,flat,reduce_long,185.67
2025-10-22 12:00:00,BTC,71.7,多,flat,reduce_short,108625.6
2025-10-22 12:00:00,ETH,74.9,多,flat,reduce_short,3879.13
2025-10-22 12:00:00,SOL,63.4,多,long,open_long,185.89
2025-10-22 16:00:00,BTC,30.6,空,short,open_short,108229.3
2025-10-22 16:00:00,ETH,45.3,中性,flat,hold,3854.25
2025-10-22 16:00:00,SOL,48.0,中性,flat,reduce_long,184.71
2025-10-22 20:00:00,BTC,65.3,多,flat,reduce_short,108044.96
2025-10-22 20:00:00,ETH,76.6,多,long,open_long,3846.64
2025-10-22 20:00:00,SOL,59.9,多,long,open_long,185.8
2025-10-23 00:00:00,BTC,10.4,空,short,open_short,108226.0
2025-10-23 00:00:00,ETH,12.1,空,flat,reduce_long,3836.25
2025-10-23 00:00:00,SOL,13.4,空,flat,reduce_long,183.62
2025-10-23 04:00:00,BTC,17.9,空,flat,reduce_short,107696.03
2025-10-23 04:00:00,ETH,15.8,空,short,open_short,3780.84
2025-10-23 04:00:00,SOL,12.3,空,short,open_short,180.18
2025-10-23 08:00:00,BTC,67.9,多,long,open_long,107845.3
2025-10-23 08:00:00,ETH,59.7,多,flat,reduce_short,3815.27
2025-10-23 08:00:00,SOL,40.6,空,flat,reduce_short,181.01
2025-10-23 12:00:00,BTC,79.9,多,long,hold,108644.32
2025-10-23 12:00:00,ETH,33.8,空,short,open_short,3835.92
2025-10-23 12:00:00,SOL,51.9,中性,flat,hold,184.02
2025-10-23 16:00:00,BTC,100.0,多,long,hold,109505.44
2025-10-23 16:00:00,ETH,82.3,多,flat,reduce_short,3887.2
2025-10-23 16:00:00,SOL,96.2,多,long,open_long,187.97
2025-10-23 20:00:00,BTC,79.7,多,flat,reduce_long,109164.94
2025-10-23 20:00:00,ETH,49.3,中性,flat,hold,3853.21
2025-10-23 20:00:00,SOL,87.9,多,flat,reduce_long,189.32
2025-10-24 00:00:00,BTC,100.0,多,long,open_long,110263.74
2025-10-24 00:00:00,ETH,95.8,多,long,open_long,3918.26
2025-10-24 00:00:00,SOL,91.7,多,long,open_long,191.95
2025-10-24 04:00:00,BTC,74.9,多,flat,reduce_long,109524.81
2025-10-24 04:00:00,ETH,47.5,中性,flat,reduce_long,3829.2
2025-10-24 04:00:00,SOL,79.9,多,flat,reduce_long,188.8
2025-10-24 08:00:00,BTC,100.0,多,long,open_long,110500.28
2025-10-24 08:00:00,ETH,88.8,多,long,open_long,3868.0
2025-10-24 08:00:00,SOL,97.7,多,long,open_long,192.53
2025-10-24 12:00:00,BTC,100.0,多,long,hold,111178.55
2025-10-24 12:00:00,ETH,100.0,多,long,hold,3974.36
2025-10-24 12:00:00,SOL,87.7,多,flat,reduce_long,193.49
2025-10-24 16:00:00,BTC,72.7,多,flat,reduce_long,111097.8
